full_path,package,module,type,ats,totals,WDTs
libraries/Cabal/Cabal/src/Distribution/Types/ModuleRenaming.hs,Cabal,ModuleRenaming.hs,terms,0,2,0
libraries/Cabal/Cabal/src/Distribution/Types/GenericPackageDescription/Lens.hs,Cabal,Lens.hs,classes,0,1,0
libraries/Cabal/Cabal/src/Distribution/Types/GenericPackageDescription/Lens.hs,Cabal,Lens.hs,instances,0,1,0
libraries/Cabal/Cabal/src/Distribution/Types/GenericPackageDescription/Lens.hs,Cabal,Lens.hs,terms,0,1,0
libraries/Cabal/Cabal/src/Distribution/Fields/Pretty.hs,Cabal,Pretty.hs,classes,0,1,0
libraries/Cabal/Cabal/src/Distribution/Fields/Pretty.hs,Cabal,Pretty.hs,instances,0,1,0
libraries/Cabal/Cabal/src/Distribution/Fields/Pretty.hs,Cabal,Pretty.hs,terms,0,1,0
libraries/haskeline/System/Console/Haskeline.hs,haskeline,Haskeline.hs,classes,0,15,0
libraries/haskeline/System/Console/Haskeline.hs,haskeline,Haskeline.hs,instances,0,15,0
libraries/haskeline/System/Console/Haskeline.hs,haskeline,Haskeline.hs,terms,0,15,0
libraries/haskeline/System/Console/Haskeline/Vi.hs,haskeline,Vi.hs,classes,0,13,0
libraries/haskeline/System/Console/Haskeline/Vi.hs,haskeline,Vi.hs,instances,0,13,0
libraries/haskeline/System/Console/Haskeline/Vi.hs,haskeline,Vi.hs,terms,0,13,0
libraries/haskeline/System/Console/Haskeline/Backend/Posix/Encoder.hs,haskeline,Encoder.hs,classes,0,1,0
libraries/haskeline/System/Console/Haskeline/Backend/Posix/Encoder.hs,haskeline,Encoder.hs,instances,0,1,0
libraries/haskeline/System/Console/Haskeline/Backend/Posix/Encoder.hs,haskeline,Encoder.hs,terms,0,1,0
libraries/haskeline/System/Console/Haskeline/Command/Completion.hs,haskeline,Completion.hs,classes,0,8,0
libraries/haskeline/System/Console/Haskeline/Command/Completion.hs,haskeline,Completion.hs,instances,0,8,0
libraries/haskeline/System/Console/Haskeline/Command/Completion.hs,haskeline,Completion.hs,terms,0,8,0
libraries/haskeline/System/Console/Haskeline/Command/Undo.hs,haskeline,Undo.hs,classes,0,1,0
libraries/haskeline/System/Console/Haskeline/Command/Undo.hs,haskeline,Undo.hs,instances,0,1,0
libraries/haskeline/System/Console/Haskeline/Command/Undo.hs,haskeline,Undo.hs,terms,0,1,0
libraries/time/lib/Data/Time/Format/Parse.hs,time,Parse.hs,classes,0,2,0
libraries/time/lib/Data/Time/Format/Parse.hs,time,Parse.hs,instances,0,2,0
libraries/time/lib/Data/Time/Format/Parse.hs,time,Parse.hs,terms,0,2,0
libraries/parsec/src/Text/Parsec/Token.hs,parsec,Token.hs,classes,0,1,0
libraries/parsec/src/Text/Parsec/Token.hs,parsec,Token.hs,instances,0,1,0
libraries/parsec/src/Text/Parsec/Token.hs,parsec,Token.hs,terms,0,1,0
libraries/parsec/src/Text/Parsec/Combinator.hs,parsec,Combinator.hs,classes,0,24,0
libraries/parsec/src/Text/Parsec/Combinator.hs,parsec,Combinator.hs,instances,0,24,0
libraries/parsec/src/Text/Parsec/Combinator.hs,parsec,Combinator.hs,terms,0,24,0
